"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет полный цыкл оформления заказа, через вход кнопкой в низу страницы","2826","Оформление заказа кнопкой ""Заказать"" в низу страницы","tests","2026-04-20","passed","2026-04-20","TestOrder","test_order","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","787","Проверка ответа на вопрос 3 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"Тест проверяет полный цыкл оформления заказа, через вход кнопкой в шапке","2654","Оформление заказа кнопкой ""Заказать"" в шапке","tests","2026-04-20","passed","2026-04-20","TestOrder","test_order","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","893","Проверка ответа на вопрос 4 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"Тест проверяет полный цыкл оформления заказа, через вход кнопкой в низу страницы","2613","Оформление заказа кнопкой ""Заказать"" в низу страницы","tests","2026-04-20","passed","2026-04-20","TestOrder","test_order","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","802","Проверка ответа на вопрос 2 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","806","Проверка ответа на вопрос 6 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","961","Проверка ответа на вопрос 5 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"","1781","Проверка перехода по логотипу ""Яндекс""","tests","2026-04-20","passed","2026-04-20","TestLogos","test_logos","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","787","Проверка ответа на вопрос 7 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","865","Проверка ответа на вопрос 0 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
"","851","Проверка перехода по логотипу ""Самокат""","tests","2026-04-20","passed","2026-04-20","TestLogos","test_logos","",""
"Тест проверяет полный цыкл оформления заказа, через вход кнопкой в шапке","2841","Оформление заказа кнопкой ""Заказать"" в шапке","tests","2026-04-20","passed","2026-04-20","TestOrder","test_order","",""
"Валидация поведения компонента: при клике на вопрос должен раскрываться соответствующий ответ.","927","Проверка ответа на вопрос 1 в разделе ""Вопросы о важном""","tests","2026-04-20","passed","2026-04-20","TestFAQ","test_faq","",""
